"variable","lower","mean","upper"
"aqi",53.7725599603737,54.3619576185671,54.9513552767605
"so2",1.96600914469231,1.9984706969106,2.0309322491289
"co",0.335487765522745,0.340242383696995,0.344997001871244
"o3",30.0524622121736,30.4204331157393,30.788404019305
"pm10",33.7733956966772,34.2443536024527,34.7153115082283
"pm2.5",16.5046664368098,16.7535437144335,17.0024209920573
"no2",11.1229996452496,11.2960681114551,11.4691365776607
"nox",14.5369679366502,14.832166012802,15.1273640889538
"no",3.35796639703999,3.51987196695922,3.68177753687844
"windspeed",2.17517812466395,2.2088533557753,2.24252858688665
"winddirec",160.229850742855,162.533578792342,164.837306841829
