"variable","lower","variance","upper"
"aqi",921.440044154457,895.959093553557,871.525242418543
"so2",2.74859500587289,2.67194284678546,2.59846690911324
"co",0.0588051230919423,0.0571629185987024,0.055588854347858
"o3",349.894056934845,340.090218713946,330.694511670808
"pm10",581.003006177678,564.834704674625,549.334956588545
"pm2.5",160.287920814608,155.799973212726,151.498725136933
"no2",77.7091848065711,75.5361721121939,73.4534429296264
"nox",225.988694608231,219.667987605271,213.609944041409
"no",67.9734068039399,66.0721523380049,64.2499104381874
"windspeed",2.88701524030456,2.80551235156002,2.72742764313254
"winddirec",13511.0881346729,13129.6586577222,12764.2260951208
