"county","Mean_FALSE","Mean_TRUE","SD_FALSE","SD_TRUE","N_FALSE","N_TRUE","Diff","SE_diff","Lower","Upper"
"Changhua County",69.1680947188035,55.9851802857359,31.5341520575093,29.351464748458,25842,267581,-13.1829144330677,0.204205087145869,-13.5831677967565,-12.7826610693789
"Chiayi City",80.1856559766764,63.8281893656125,39.4731492533385,35.3842615000309,8614,63298,-16.3574666110639,0.447954875992404,-17.2355654315821,-15.4793677905456
"Chiayi County",72.1725743553926,61.5966360516113,34.2071305913934,32.2140827397346,17232,126754,-10.5759383037813,0.275846781902163,-11.1166260412818,-10.0352505662808
"Hsinchu City",52.8388231156957,49.2476345888975,26.7901606182864,24.6581626454154,8614,67236,-3.59118852679816,0.303911954349803,-4.18692872956912,-2.99544832402719
"Hsinchu County",59.2174319976601,47.9299677509257,26.1084027806505,23.5183132403139,17228,126618,-11.2874642467345,0.209605993313693,-11.6983133106909,-10.8766151827781
"Hualien County",40.0506815798672,32.6192819275579,16.8573910465385,14.0038101332414,8614,63298,-7.43139965230932,0.189967521613514,-7.80378148272483,-7.05901782189382
"Kaohsiung City",80.1822146341463,65.0641476465811,39.4018732109974,34.6116933811887,103351,785146,-15.1180669875652,0.128637050570718,-15.3701939264994,-14.865940048631
"Keelung City",50.6593457943925,42.7853907496013,23.0654864882501,18.852392988211,8612,63301,-7.87395504479124,0.259597476902914,-8.38282827719913,-7.36508181238336
"Kinmen County",77.5944629277567,63.4374206046748,36.8752629155213,33.2021195759652,8614,63299,-14.1570423230819,0.418656197825306,-14.9777087187732,-13.3363759273905
"Lienchiang County",67.1688174565931,62.4019945254598,32.416410381985,30.8185053809427,8614,63300,-4.76682293113333,0.370127865620111,-5.49236217550907,-4.0412836867576
"Miaoli County",58.7415415726841,48.6856524573067,25.6852148964063,24.5553154916785,25842,193841,-10.0558891153774,0.169233536305672,-10.3875962883084,-9.72418194244634
"Nantou County",77.1068150751806,58.8186929134691,36.1727814304915,30.7934324162649,25842,190578,-18.2881221617115,0.235815703953639,-18.7503340979434,-17.8259102254797
"New Taipei City",55.2221212250834,46.3190368057764,26.1456160463451,21.7278961788222,94880,803939,-8.90308441930706,0.0882726150258654,-9.07609777269758,-8.73007106591654
"Penghu County",50.9136614589451,47.8100852385884,22.2400489415703,24.1159939587271,8614,63296,-3.10357622035676,0.258086669813606,-3.6094878924928,-2.59766454822072
"Pingtung County",67.5146865409908,56.1523419934143,40.6562857705769,32.4525014737298,25842,279653,-11.3623445475765,0.26024802971687,-11.8724452054174,-10.8522438897356
"Taichung City",63.8999579360628,52.5076584189792,30.8918793936662,27.4622606938574,43074,323959,-11.3922995170836,0.156470714344369,-11.69898509979,-11.0856139343772
"Tainan City",75.0222365076118,60.6578897834772,37.6814597736342,32.8361689347184,34456,332371,-14.3643467241346,0.210838481790289,-14.7775970720016,-13.9510963762676
"Taipei City",52.256357399929,45.5668394489156,24.218239148566,20.5619198823747,60298,443468,-6.68951795101348,0.103346271325999,-6.89207698679242,-6.48695891523453
"Taitung County",32.5573808965032,29.9606138433806,14.9062372602192,12.7022746902618,17228,126581,-2.59676705312257,0.119046341612105,-2.83010998977023,-2.36342411647491
"Taoyuan City",56.9409510402002,49.0678047962094,26.627558637418,24.1949357082835,51688,397030,-7.87314624399081,0.123255311748183,-8.11472787308306,-7.63156461489856
"Yilan County",43.5085657486991,36.5293834782406,17.8704038256535,15.0779348334979,17228,129843,-6.97918227045842,0.142434817780811,-7.2583689990195,-6.69999554189733
"Yunlin County",79.9147642571103,60.1291689294956,36.2334950491634,32.8241893109809,34456,253035,-19.7855953276147,0.205817160876743,-20.1890037216,-19.3821869336294
