"county","after_reform","Mean","SD","N","Lower","Upper"
"Changhua County",FALSE,69.1680947188035,31.5341520575093,25842,68.7836034078124,69.5525860297947
"Changhua County",TRUE,55.9851802857359,29.351464748458,267581,55.8739681455851,56.0963924258867
"Chiayi City",FALSE,80.1856559766764,39.4731492533385,8614,79.3519585354513,81.0193534179014
"Chiayi City",TRUE,63.8281893656125,35.3842615000309,63298,63.5525307710393,64.1038479601857
"Chiayi County",FALSE,72.1725743553926,34.2071305913934,17232,71.6618019797579,72.6833467310273
"Chiayi County",TRUE,61.5966360516113,32.2140827397346,126754,61.4192917774085,61.773980325814
"Hsinchu City",FALSE,52.8388231156957,26.7901606182864,8614,52.2729982757741,53.4046479556173
"Hsinchu City",TRUE,49.2476345888975,24.6581626454154,67236,49.0612475589918,49.4340216188032
"Hsinchu County",FALSE,59.2174319976601,26.1084027806505,17228,58.8275425528848,59.6073214424355
"Hsinchu County",TRUE,47.9299677509257,23.5183132403139,126618,47.8004257239307,48.0595097779206
"Hualien County",FALSE,40.0506815798672,16.8573910465385,8614,39.6946430056194,40.406720154115
"Hualien County",TRUE,32.6192819275579,14.0038101332414,63298,32.5101862320042,32.7283776231115
"Kaohsiung City",FALSE,80.1822146341463,39.4018732109974,103351,79.9419926748516,80.422436593441
"Kaohsiung City",TRUE,65.0641476465811,34.6116933811887,785146,64.9875886210417,65.1407066721205
"Keelung City",FALSE,50.6593457943925,23.0654864882501,8612,50.1721318067459,51.1465597820391
"Keelung City",TRUE,42.7853907496013,18.852392988211,63301,42.6385259915576,42.932255507645
"Kinmen County",FALSE,77.5944629277567,36.8752629155213,8614,76.8156344603379,78.3732913951754
"Kinmen County",TRUE,63.4374206046748,33.2021195759652,63299,63.1787638761535,63.6960773331961
"Lienchiang County",FALSE,67.1688174565931,32.416410381985,8614,66.4841627254565,67.8534721877298
"Lienchiang County",TRUE,62.4019945254598,30.8185053809427,63300,62.1619089250962,62.6420801258234
"Miaoli County",FALSE,58.7415415726841,25.6852148964063,25842,58.4283654983569,59.0547176470114
"Miaoli County",TRUE,48.6856524573067,24.5553154916785,193841,48.5763390326508,48.7949658819627
"Nantou County",FALSE,77.1068150751806,36.1727814304915,25842,76.6657656336405,77.5478645167207
"Nantou County",TRUE,58.8186929134691,30.7934324162649,190578,58.6804405490681,58.9569452778702
"New Taipei City",FALSE,55.2221212250834,26.1456160463451,94880,55.055754996135,55.3884874540318
"New Taipei City",TRUE,46.3190368057764,21.7278961788222,803939,46.2715410422477,46.366532569305
"Penghu County",FALSE,50.9136614589451,22.2400489415703,8614,50.4439378051189,51.3833851127714
"Penghu County",TRUE,47.8100852385884,24.1159939587271,63296,47.6222083195956,47.9979621575811
"Pingtung County",FALSE,67.5146865409908,40.6562857705769,25842,67.0189703857744,68.0104026962072
"Pingtung County",TRUE,56.1523419934143,32.4525014737298,279653,56.0320633814287,56.2726206053999
"Taichung City",FALSE,63.8999579360628,30.8918793936662,43074,63.6082172339826,64.1916986381431
"Taichung City",TRUE,52.5076584189792,27.4622606938574,323959,52.4130911223235,52.6022257156349
"Tainan City",FALSE,75.0222365076118,37.6814597736342,34456,74.6243505270655,75.4201224881582
"Tainan City",TRUE,60.6578897834772,32.8361689347184,332371,60.5462572985929,60.7695222683616
"Taipei City",FALSE,52.256357399929,24.218239148566,60298,52.0630502496377,52.4496645502204
"Taipei City",TRUE,45.5668394489156,20.5619198823747,443468,45.506321835139,45.6273570626921
"Taitung County",FALSE,32.5573808965032,14.9062372602192,17228,32.3347788239864,32.77998296902
"Taitung County",TRUE,29.9606138433806,12.7022746902618,126581,29.8906377838676,30.0305899028936
"Taoyuan City",FALSE,56.9409510402002,26.627558637418,51688,56.7113918168245,57.1705102635759
"Taoyuan City",TRUE,49.0678047962094,24.1949357082835,397030,48.9925451407908,49.143064451628
"Yilan County",FALSE,43.5085657486991,17.8704038256535,17228,43.2416983388451,43.775433158553
"Yilan County",TRUE,36.5293834782406,15.0779348334979,129843,36.4473700944528,36.6113968620284
"Yunlin County",FALSE,79.9147642571103,36.2334950491634,34456,79.5321676222436,80.297360891977
"Yunlin County",TRUE,60.1291689294956,32.8241893109809,253035,60.001273837538,60.2570640214532
