"variable","N","lower","variance","upper"
"aqi",5831797,887.783288773065,888.802564700685,889.823605071197
"so2",5742414,2.9916552669442,2.99511666265756,2.99858409679977
"co",5728069,0.0622133340524549,0.0622854060342883,0.0623576039036684
"o3",5674781,336.271648314024,336.663032604158,337.055103727111
"pm10",5735553,589.179984574672,589.862083497831,590.545373059413
"pm2.5",5679980,161.062084611908,161.249457842729,161.437159740602
"no2",5716208,75.235236357785,75.3224841639225,75.4098845232603
"nox",5713061,221.243580007967,221.500219518481,221.757307888072
"no",5712730,69.7642541624898,69.8451820830799,69.9262515496263
"windspeed",5579525,2.86560534129238,2.86896895809263,2.87233852785802
"winddirec",5578709,13104.4792426015,13119.8622649615,13135.2725143525
