"month","N","SD","Error","Lower","Mean","Upper","Difference","Lower_Diff","Upper_Diff"
"Jan",538890,33.4437334258859,0.0892922480925918,67.0027061189211,67.0919983670137,67.1812906151063,12.829280889022,12.7399886409294,12.9185731371145
"Feb",495623,33.2155762222372,0.0924730573436166,68.489293729105,68.5817667864486,68.6742398437922,14.3190493084568,14.2265762511132,14.4115223658005
"Mar",546889,30.786157569136,0.08159338410253,71.6589481151779,71.7405414992805,71.822134883383,17.4778240212888,17.3962306371862,17.5594174053913
"Apr",527845,26.2380446583597,0.0707827363478827,65.4253951188937,65.4961778552416,65.5669605915895,11.2334603772499,11.162677640902,11.3042431135977
"May",536419,23.1843546786538,0.0620428882301599,49.1290894169268,49.191132305157,49.2531751933871,-5.07158517283476,-5.13362806106492,-5.0095422846046
"Jun",521073,16.0280796054385,0.0435192402988773,32.7635711289968,32.8070903692957,32.8506096095945,-21.4556271086961,-21.4991463489949,-21.4121078683972
"Jul",473548,16.0965014211581,0.0458457086319585,32.4346356786825,32.4804813873145,32.5263270959464,-21.7822360906773,-21.8280817993092,-21.7363903820453
"Aug",477873,16.7346548589176,0.0474471033720324,35.8724479315013,35.9198950348733,35.9673421382453,-18.3428224431184,-18.3902695464905,-18.2953753397464
"Sep",404352,25.402858816021,0.0782982738424578,49.9276915568002,50.0059898306426,50.0842881044851,-4.25672764734911,-4.33502592119157,-4.17842937350665
"Oct",421153,27.5793311723459,0.0832938851437149,57.0770136515472,57.1603075366909,57.2436014218346,2.8975900586992,2.81429617355548,2.98088394384292
"Nov",408467,28.5357475542197,0.0875104957968389,57.9073287445824,57.9948392403793,58.0823497361761,3.73212176238754,3.6446112665907,3.81963225818438
"Dec",479665,31.2084033209651,0.0883185075932477,59.3008489321824,59.3891674397757,59.4774859473689,5.12644996178398,5.03813145419073,5.21476846937723
